receita,arquivo,pagina_fonte,autor,licenca,url_licenca,titulo_wikimedia,status
Costelinha suína com molho barbecue caseiro,Costelinha suína com molho barbecue caseiro.jpg,https://commons.wikimedia.org/wiki/File:Barbecued_-_Pork_ribs.jpg,Enrico BBQness,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Barbecued - Pork ribs.jpg,OK — conferir visualmente antes de publicar
Estrogonofe de frango com champignon,Estrogonofe de frango com champignon.jpg,https://commons.wikimedia.org/wiki/File:Chicken_stroganoff.jpg,"Sandip Bhattacharya from Toronto, Canada",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Chicken stroganoff.jpg,OK — conferir visualmente antes de publicar
Salmão com crosta de ervas e limão siciliano,Salmão com crosta de ervas e limão siciliano.jpg,https://commons.wikimedia.org/wiki/File:Herb_baked_salmon.jpg,Shark2025,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Herb baked salmon.jpg,OK — conferir visualmente antes de publicar
Picadinho de carne com banana frita,Picadinho de carne com banana frita.jpg,https://commons.wikimedia.org/wiki/File:Picadinho_com_quiabo.jpg,"Eugenio Hansen, OFS",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Picadinho com quiabo.jpg,APROXIMADA — conferir prato/ingredientes
Peixe assado com batatas ao forno,Peixe assado com batatas ao forno.jpg,https://commons.wikimedia.org/wiki/File:BakedFish.jpg,Len Rizzi (photographer),Public domain,,File:BakedFish.jpg,OK — conferir visualmente antes de publicar
Macarrão ao molho branco,Macarrão ao molho branco.jpg,https://commons.wikimedia.org/wiki/File:Pasta_in_white_sauce.jpg,AlekhyaDas,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pasta in white sauce.jpg,OK — conferir visualmente antes de publicar
Pasta cremosa de frango,Pasta cremosa de frango.jpg,https://commons.wikimedia.org/wiki/File:Pasta_chicken_with_cream_sauce_(2382791628).jpg,"Glen Edelson from ATLANTA, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Pasta chicken with cream sauce (2382791628).jpg,OK — conferir visualmente antes de publicar
Carbonara sem medo,Carbonara sem medo.jpg,https://commons.wikimedia.org/wiki/File:Pasta_Carbonara_at_Gete_Deli_close_up.jpg,JIP,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pasta Carbonara at Gete Deli close up.jpg,OK — conferir visualmente antes de publicar
Espaguete alho e óleo,Espaguete alho e óleo.jpg,https://commons.wikimedia.org/wiki/File:Spaghetti_aglio_e_olio.jpg,10Rosso,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Spaghetti aglio e olio.jpg,OK — conferir visualmente antes de publicar
Nhoque de batata,Nhoque de batata.jpg,https://commons.wikimedia.org/wiki/File:Potato_gnocchi%2C_aubergine_arrabiata.jpg,Siobhan Leachman,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"File:Potato gnocchi, aubergine arrabiata.jpg",OK — conferir visualmente antes de publicar
Lasanha da família,Lasanha da família.jpg,https://commons.wikimedia.org/wiki/File:Lasagna_food.jpg,Jon Sullivan,Public domain,,File:Lasagna food.jpg,OK — conferir visualmente antes de publicar
Penne ao molho rosé com bacon,Penne ao molho rosé com bacon.jpg,https://commons.wikimedia.org/wiki/File:Penne_med_bacon_og_tre_slags_ost_(4558454980).jpg,"cyclonebill from Copenhagen, Denmark",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Penne med bacon og tre slags ost (4558454980).jpg,APROXIMADA — conferir prato/ingredientes
Fettuccine Alfredo sedoso,Fettuccine Alfredo sedoso.jpg,https://commons.wikimedia.org/wiki/File:Fettuccine_Alfredo.jpg,Robert Banh,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Fettuccine Alfredo.jpg,OK — conferir visualmente antes de publicar
Espaguete com almôndegas caseiras,Espaguete com almôndegas caseiras.jpg,https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Spaghetti_and_meatballs.jpg,HaJunkiyada,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Liat Portal for Foodie Disorder - Spaghetti and meatballs.jpg,OK — conferir visualmente antes de publicar
Mac and cheese cremoso,Mac and cheese cremoso.jpg,https://commons.wikimedia.org/wiki/File:Macaroni_and_cheese_(1).jpg,hildgrim,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Macaroni and cheese (1).jpg,OK — conferir visualmente antes de publicar
Salada morna de grão-de-bico,Salada morna de grão-de-bico.jpg,https://commons.wikimedia.org/wiki/File:Chickpea_salad_w-_lambs_lettuce%2C_flax_seeds%2C_oregano_and_balsamic_vinegar_(8005908417).jpg,Lablascovegmenu from London,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"File:Chickpea salad w- lambs lettuce, flax seeds, oregano and balsamic vinegar (8005908417).jpg",OK — conferir visualmente antes de publicar
Salada caesar fácil,Salada caesar fácil.jpg,https://commons.wikimedia.org/wiki/File:Caesar_Salad.jpg,Genay24,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Caesar Salad.jpg,OK — conferir visualmente antes de publicar
Salada tropical agridoce,Salada tropical agridoce.jpg,https://commons.wikimedia.org/wiki/File:Fruit_and_vegetable_salad.JPG,Kanikatwl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Fruit and vegetable salad.JPG,OK — conferir visualmente antes de publicar
Salada de macarrão colorida,Salada de macarrão colorida.jpg,https://commons.wikimedia.org/wiki/File:Pasta_salad_-_Ensalada_de_pasta_(6937837596).jpg,Lablascovegmenu from London,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Pasta salad - Ensalada de pasta (6937837596).jpg,OK — conferir visualmente antes de publicar
Salada de batata de churrasco,Salada de batata de churrasco.jpg,https://commons.wikimedia.org/wiki/File:Potato_salad.jpg,,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,File:Potato salad.jpg,OK — conferir visualmente antes de publicar
Salada grega clássica com queijo e azeitonas,Salada grega clássica com queijo e azeitonas.jpg,https://commons.wikimedia.org/wiki/File:-2019-06-05_Tomato%2C_black_olive_and_feta_Greek_salad.JPG,"Kolforn (Kolforn)
I'd appreciate if you could mail me (Kolforn@gmail.com) if you want to use this picture out of the Wikimedia project scope.



 This file is licensed under the Creative Commons Attribution-Share Alike 4.0 International license.
You are free:
to share – to copy, distribute and transmit the work
to remix – to adapt the work
Under the following conditions:
attribution – You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.
share alike – If you remix, transform, or build upon the material, you must distribute your contributions under the same or compatible license as the original.https://creativecommons.org/licenses/by-sa/4.0CC BY-SA 4.0 Creative Commons Attribution-Share Alike 4.0 truetrue",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:-2019-06-05 Tomato, black olive and feta Greek salad.JPG",OK — conferir visualmente antes de publicar
Salada nutritiva de quinoa com legumes tostados,Salada nutritiva de quinoa com legumes tostados.jpg,https://commons.wikimedia.org/wiki/File:Quinoa_Salad_(140491457).jpeg,J Doll,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,File:Quinoa Salad (140491457).jpeg,OK — conferir visualmente antes de publicar
Salada de folhas verdes com pera e nozes,Salada de folhas verdes com pera e nozes.jpg,https://commons.wikimedia.org/wiki/File:Grilled_pears_and_blue_cheese%2C_walnut_and_baby_leaves_salad.jpg,Tzahy Lerner,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"File:Grilled pears and blue cheese, walnut and baby leaves salad.jpg",OK — conferir visualmente antes de publicar
